id,name,deadline_time,release_time,average_entry_score,finished,data_checked,highest_scoring_entry,deadline_time_epoch,deadline_time_game_offset,highest_score,is_previous,is_current,is_next,cup_leagues_created,h2h_ko_matches_created,can_enter,can_manage,released,ranked_count,chip_plays,most_selected,most_transferred_in,top_element,transfers_made,most_captained,most_vice_captained,overrides.element_types,overrides.pick_multiplier,top_element_info.id,top_element_info.points,top_element_info
11,Gameweek 11,2024-11-09T13:30:00Z,,49,True,True,10668888.0,1731159000,0,136.0,False,False,False,True,True,False,False,True,10693676,"[{'chip_name': 'bboost', 'num_played': 79875}, {'chip_name': 'freehit', 'num_played': 84689}, {'chip_name': 'wildcard', 'num_played': 138253}, {'chip_name': '3xc', 'num_played': 52784}]",351.0,447.0,366.0,11631910,351.0,328.0,[],,366.0,17.0,
12,Gameweek 12,2024-11-23T11:00:00Z,,49,True,True,7440806.0,1732359600,0,128.0,False,False,False,True,True,False,False,True,10751495,"[{'chip_name': 'bboost', 'num_played': 59590}, {'chip_name': 'freehit', 'num_played': 89443}, {'chip_name': 'wildcard', 'num_played': 252772}, {'chip_name': '3xc', 'num_played': 111773}]",351.0,366.0,541.0,13315756,351.0,182.0,[],,541.0,16.0,
13,Gameweek 13,2024-11-29T18:30:00Z,,60,True,True,1929511.0,1732905000,0,144.0,False,False,False,True,True,False,False,True,10786063,"[{'chip_name': 'bboost', 'num_played': 57138}, {'chip_name': 'freehit', 'num_played': 71881}, {'chip_name': 'wildcard', 'num_played': 144095}, {'chip_name': '3xc', 'num_played': 44722}]",328.0,541.0,106.0,10651205,328.0,182.0,[],,106.0,23.0,
14,Gameweek 14,2024-12-03T18:00:00Z,,58,True,True,2964307.0,1733248800,0,132.0,False,False,False,True,True,False,False,True,10821193,"[{'chip_name': 'bboost', 'num_played': 58057}, {'chip_name': 'freehit', 'num_played': 60749}, {'chip_name': 'wildcard', 'num_played': 141083}, {'chip_name': '3xc', 'num_played': 80792}]",328.0,180.0,328.0,10912413,351.0,328.0,[],,328.0,18.0,
15,Gameweek 15,2024-12-07T11:00:00Z,,50,True,True,7399737.0,1733569200,0,119.0,False,False,False,True,True,False,False,True,10854873,"[{'chip_name': 'bboost', 'num_played': 46111}, {'chip_name': 'freehit', 'num_played': 102956}, {'chip_name': 'wildcard', 'num_played': 98439}, {'chip_name': '3xc', 'num_played': 72929}]",182.0,17.0,182.0,10409133,328.0,182.0,[],,182.0,18.0,
16,Gameweek 16,2024-12-14T13:30:00Z,,47,True,True,5142221.0,1734183000,0,119.0,False,False,False,True,True,False,False,True,10906389,"[{'chip_name': 'bboost', 'num_played': 72296}, {'chip_name': 'freehit', 'num_played': 56121}, {'chip_name': 'wildcard', 'num_played': 120570}, {'chip_name': '3xc', 'num_played': 100883}]",328.0,401.0,585.0,10586275,328.0,182.0,[],,585.0,17.0,
17,Gameweek 17,2024-12-21T11:00:00Z,,60,True,True,4917384.0,1734778800,0,151.0,False,False,False,True,True,False,False,True,10946145,"[{'chip_name': 'bboost', 'num_played': 80801}, {'chip_name': 'freehit', 'num_played': 59644}, {'chip_name': 'wildcard', 'num_played': 136974}, {'chip_name': '3xc', 'num_played': 55811}]",182.0,364.0,328.0,10405730,328.0,182.0,[],,328.0,21.0,
18,Gameweek 18,2024-12-26T11:00:00Z,,51,True,True,2701866.0,1735210800,0,118.0,False,False,False,True,True,False,False,True,10984600,"[{'chip_name': 'bboost', 'num_played': 97727}, {'chip_name': 'freehit', 'num_played': 83399}, {'chip_name': 'wildcard', 'num_played': 374001}, {'chip_name': '3xc', 'num_played': 202796}]",328.0,401.0,403.0,13895381,328.0,182.0,[],,403.0,13.0,
19,Gameweek 19,2024-12-29T13:00:00Z,,66,True,True,3191421.0,1735477200,0,142.0,False,False,False,True,True,False,False,True,11011909,"[{'chip_name': 'bboost', 'num_played': 83841}, {'chip_name': 'freehit', 'num_played': 62471}, {'chip_name': 'wildcard', 'num_played': 427439}, {'chip_name': '3xc', 'num_played': 67924}]",182.0,401.0,328.0,10957444,328.0,182.0,[],,328.0,16.0,
20,Gameweek 20,2025-01-04T11:00:00Z,,60,True,True,1247541.0,1735988400,0,136.0,False,False,False,True,True,False,False,True,11058766,"[{'chip_name': 'bboost', 'num_played': 73435}, {'chip_name': 'freehit', 'num_played': 67748}, {'chip_name': 'wildcard', 'num_played': 412768}, {'chip_name': '3xc', 'num_played': 141464}]",328.0,447.0,99.0,13978697,328.0,182.0,[],,99.0,19.0,
